tag,content,links
ul,Recognitions,['https://cci.charlotte.edu/departments/bioinformatics/bioinformatics-news/recognitions/']
ul,"Big Data in Bioinformatics
Research Labs
Computational Biophysics
Computational Mass Spectrometry
Genome-Wide Association Analysis
High-Throughput Studies
Metagenomics
Plant Genomics
Structural Bioinformatics
Systems Biology","['https://cci.charlotte.edu/research/bioinformatics-research/big-data-bioinformatics/', 'https://cci.charlotte.edu/research/bioinformatics-research/research-labs/', 'https://cci.charlotte.edu/research/bioinformatics-research/computational-biophysics/', 'https://cci.charlotte.edu/research/bioinformatics-research/computational-mass-spectrometry/', 'https://cci.charlotte.edu/research/bioinformatics-research/genome-wide-association-analysis/', 'https://cci.charlotte.edu/research/bioinformatics-research/high-throughput-studies/', 'https://cci.charlotte.edu/research/bioinformatics-research/metagenomics/', 'https://cci.charlotte.edu/research/bioinformatics-research/plant-genomics/', 'https://cci.charlotte.edu/research/bioinformatics-research/structural-bioinformatics/', 'https://cci.charlotte.edu/research/bioinformatics-research/systems-biology/']"
ul,"Computer Science Bioinformatics Concentration, B.A.
Computer Science Bioinformatics Concentration, B.S.
Undergraduate Minor in Bioinformatics and Genomics Program Requirements
Early-Entry Bioinformatics M.S. and Graduate Certificate
Bioinformatics Technology Certificate
Master’s in Bioinformatics

Admissions
Program Requirements
M.S. in Bioinformatics Forms


Bioinformatics and Computational Biology (BCB) Ph.D. Program

BCB Ph.D. Admissions
BCB Ph.D. Program Requirements
Ph.D. Forms
Molecular Biophysics Concentration


Courses

Undergraduate Courses in Bioinformatics
Graduate Courses


Frequently Asked Questions
Undergraduate Research Initiative","['https://cci.charlotte.edu/academics/bioinformatics/computer-science-bioinformatics-concentration-ba/', 'https://cci.charlotte.edu/academics/bioinformatics/computer-science-bioinformatics-concentration-bs/', 'https://cci.charlotte.edu/academics/bioinformatics/undergraduate-minor-bioinformatics-and-genomics-program-requirements/', 'https://cci.charlotte.edu/academics/bioinformatics/early-entry-bioinformatics-ms-and-graduate-certificates/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-graduate-certificates/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/admissions/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/program-requirements/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/ms-bioinformatics-forms/', 'https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/', 'https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/bcb-phd-admissions/', 'https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/bcb-phd-program-requirements/', 'https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/phd-forms/', 'https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/academics-2/molecular-biophysics-concentration/', 'https://cci.charlotte.edu/academics/bioinformatics/courses/', 'https://cci.charlotte.edu/academics/bioinformatics/courses/undergraduate-courses/', 'https://cci.charlotte.edu/academics/bioinformatics/courses/graduate-courses/', 'https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/academics-2/courses/frequently-asked-questions/', 'https://cci.charlotte.edu/academics/bioinformatics/undergraduate-research-initiative/']"
ul,"Admissions
Program Requirements
M.S. in Bioinformatics Forms","['https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/admissions/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/program-requirements/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/ms-bioinformatics-forms/']"
ul,"BCB Ph.D. Admissions
BCB Ph.D. Program Requirements
Ph.D. Forms
Molecular Biophysics Concentration","['https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/bcb-phd-admissions/', 'https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/bcb-phd-program-requirements/', 'https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/phd-forms/', 'https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/academics-2/molecular-biophysics-concentration/']"
ul,"Undergraduate Courses in Bioinformatics
Graduate Courses","['https://cci.charlotte.edu/academics/bioinformatics/courses/undergraduate-courses/', 'https://cci.charlotte.edu/academics/bioinformatics/courses/graduate-courses/']"
ul,"About Computer Science

Administration
Directions
Contact Information
CS Faculty
CS Staff


CS Academics

Academic Programs
Undergraduate Programs

Computer Science: B.S./B.A.
Courses


CS Certificate Programs

Graduate Certificate in Applied A.I.
UNDERGRADUATE CERTIFICATE IN GAME DESIGN


Early Entry (4 + 1) Program

Deadlines for Early Entry (4 + 1) Program


Master’s Programs

M.S. Requirements
M.S. Admissions
M.S. Funding and Assistantships
Evening Computer Science MS Degree Program
M.S. Courses
M.S. Course Rotation


Ph.D. in Computing and Information Systems, CS Track

Ph.D. Admissions
Degree Requirements
Courses


Other Programs
CS Student Forms and Resources


CS Research
CS News
CS Department Intranet","['https://cci.charlotte.edu/departments/computer-science/about-us/', 'https://cci.charlotte.edu/departments/computer-science/about-us/administration/', 'https://cci.charlotte.edu/departments/computer-science/about-us/directions/', 'https://cci.charlotte.edu/departments/department-of-computer-science/about-computer-science/contact-information/', 'https://cci.charlotte.edu/departments/department-of-computer-science/about-computer-science/cs-faculty/', 'https://cci.charlotte.edu/departments/department-of-computer-science/about-computer-science/cs-staff/', 'https://cci.charlotte.edu/academics/computer-science/', 'https://cci.charlotte.edu/academics/academic-programs/', 'https://cci.charlotte.edu/academics/computer-science/undergraduate-programs/', 'https://cci.charlotte.edu/academics/computer-science/undergraduate-programs/courses/', 'https://cci.charlotte.edu/academics/computer-science/undergraduate-programs/courses-0/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-academics/cs-certificate-programs/', 'https://cci.charlotte.edu/departments/department-of-computer-science/academics/cs-certificate-programs/graduate-certificate-in-applied-a-i/', 'https://cci.charlotte.edu/departments/department-of-computer-science/academics/cs-certificate-programs/undergraduate-certificate-in-game-design/', 'https://cci.charlotte.edu/academics/computer-science/5-year-babs-ms-degree-program/', 'https://cci.charlotte.edu/academics/computer-science/early-entry-4-1-program/deadlines/', 'https://cci.charlotte.edu/academics/computer-science/masters-programs/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-requirements/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-admissions/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-academics/masters-programs/ms-funding/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/evening-computer-science-ms-degree-program/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-courses/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-course-rotation/', 'https://cci.charlotte.edu/academics/computer-science/phd-program-cs-track/', 'https://cci.charlotte.edu/departments/department-of-computer-science/academics/ph-d-in-computing-and-information-systems-cs-track/admissions-2/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-academics/phd-program-cs-track/degree-requirements/', 'https://cci.charlotte.edu/academics/computer-science/phd-program-cs-track/courses/', 'https://cci.charlotte.edu/departments/department-of-computer-science/academics/other-programs/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-academics/cs-student-forms-and-links/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-research/', 'https://cci.charlotte.edu/cs-news/', 'https://cci.charlotte.edu/departments/department-of-computer-science/cs-department-intranet/']"
ul,"Administration
Directions
Contact Information
CS Faculty
CS Staff","['https://cci.charlotte.edu/departments/computer-science/about-us/administration/', 'https://cci.charlotte.edu/departments/computer-science/about-us/directions/', 'https://cci.charlotte.edu/departments/department-of-computer-science/about-computer-science/contact-information/', 'https://cci.charlotte.edu/departments/department-of-computer-science/about-computer-science/cs-faculty/', 'https://cci.charlotte.edu/departments/department-of-computer-science/about-computer-science/cs-staff/']"
ul,"Academic Programs
Undergraduate Programs

Computer Science: B.S./B.A.
Courses


CS Certificate Programs

Graduate Certificate in Applied A.I.
UNDERGRADUATE CERTIFICATE IN GAME DESIGN


Early Entry (4 + 1) Program

Deadlines for Early Entry (4 + 1) Program


Master’s Programs

M.S. Requirements
M.S. Admissions
M.S. Funding and Assistantships
Evening Computer Science MS Degree Program
M.S. Courses
M.S. Course Rotation


Ph.D. in Computing and Information Systems, CS Track

Ph.D. Admissions
Degree Requirements
Courses


Other Programs
CS Student Forms and Resources","['https://cci.charlotte.edu/academics/academic-programs/', 'https://cci.charlotte.edu/academics/computer-science/undergraduate-programs/', 'https://cci.charlotte.edu/academics/computer-science/undergraduate-programs/courses/', 'https://cci.charlotte.edu/academics/computer-science/undergraduate-programs/courses-0/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-academics/cs-certificate-programs/', 'https://cci.charlotte.edu/departments/department-of-computer-science/academics/cs-certificate-programs/graduate-certificate-in-applied-a-i/', 'https://cci.charlotte.edu/departments/department-of-computer-science/academics/cs-certificate-programs/undergraduate-certificate-in-game-design/', 'https://cci.charlotte.edu/academics/computer-science/5-year-babs-ms-degree-program/', 'https://cci.charlotte.edu/academics/computer-science/early-entry-4-1-program/deadlines/', 'https://cci.charlotte.edu/academics/computer-science/masters-programs/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-requirements/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-admissions/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-academics/masters-programs/ms-funding/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/evening-computer-science-ms-degree-program/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-courses/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-course-rotation/', 'https://cci.charlotte.edu/academics/computer-science/phd-program-cs-track/', 'https://cci.charlotte.edu/departments/department-of-computer-science/academics/ph-d-in-computing-and-information-systems-cs-track/admissions-2/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-academics/phd-program-cs-track/degree-requirements/', 'https://cci.charlotte.edu/academics/computer-science/phd-program-cs-track/courses/', 'https://cci.charlotte.edu/departments/department-of-computer-science/academics/other-programs/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-academics/cs-student-forms-and-links/']"
ul,"Computer Science: B.S./B.A.
Courses","['https://cci.charlotte.edu/academics/computer-science/undergraduate-programs/courses/', 'https://cci.charlotte.edu/academics/computer-science/undergraduate-programs/courses-0/']"
ul,"Graduate Certificate in Applied A.I.
UNDERGRADUATE CERTIFICATE IN GAME DESIGN","['https://cci.charlotte.edu/departments/department-of-computer-science/academics/cs-certificate-programs/graduate-certificate-in-applied-a-i/', 'https://cci.charlotte.edu/departments/department-of-computer-science/academics/cs-certificate-programs/undergraduate-certificate-in-game-design/']"
ul,Deadlines for Early Entry (4 + 1) Program,['https://cci.charlotte.edu/academics/computer-science/early-entry-4-1-program/deadlines/']
ul,"M.S. Requirements
M.S. Admissions
M.S. Funding and Assistantships
Evening Computer Science MS Degree Program
M.S. Courses
M.S. Course Rotation","['https://cci.charlotte.edu/academics/computer-science/masters-program/ms-requirements/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-admissions/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-academics/masters-programs/ms-funding/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/evening-computer-science-ms-degree-program/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-courses/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-course-rotation/']"
ul,"Ph.D. Admissions
Degree Requirements
Courses","['https://cci.charlotte.edu/departments/department-of-computer-science/academics/ph-d-in-computing-and-information-systems-cs-track/admissions-2/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-academics/phd-program-cs-track/degree-requirements/', 'https://cci.charlotte.edu/academics/computer-science/phd-program-cs-track/courses/']"
ul,"About Software & Information Systems

Administration
Directions
SIS Faculty
SIS Staff


SIS Academics

Undergraduate Programs

Course Listings
Programs
Software and Information Systems: B.S./B.A.


SIS Master’s Programs

About SIS Master’s Degrees
Admissions
Degree Requirements
Early Entry (4+1) Program
Labs & Research
Frequently Asked Questions
SIS Contact


SIS Graduate Certificates

Software Development Certificate
Frequently Asked Questions – SIS Graduate Certificates


Fundamentals of Programming Courses
Ph.D. in Computing and Information Systems, SIS Track

Ph.D. Computing and Information Systems: Software and Information Systems Track
Ph.D. Courses
Ph.D. Admissions
Ph.D. Resources


Cybersecurity Program
Scholarships

CyberCorps: Scholarship for Service (SFS)
Graduate Assistant Support Plan (GASP)
The STARS Computing Scholars




SIS News
SIS Research

Centers and Institutes
Complex Adaptive Systems
Cyber Defense and Network Assurability Research Center","['https://cci.charlotte.edu/departments/department-of-software-information-systems/about-software-information-systems/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/about-sis/administration/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/about-sis/directions/', 'https://cci.charlotte.edu/sis-faculty/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/about-software-information-systems/sis-staff/', 'https://cci.charlotte.edu/academics/software-and-information-systems/', 'https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/', 'https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/course-listings/', 'https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/programs/', 'https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/software-and-information-systems/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/academics-3/sis-masters-programs/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/sis-academics/masters-programs/about-sis-masters/', 'https://cci.charlotte.edu/sis-grad-admissions/', 'https://cci.charlotte.edu/sis-grad-requirements/', 'https://cci.charlotte.edu/sis-early-entry/', 'https://cci.charlotte.edu/sis-labs-and-research/', 'https://cci.charlotte.edu/sis-grad-faq/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/academics-3/sis-masters-programs/sis-contact/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/academics-3/sis-graduate-certificates/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/sis-academics/graduate-certificates/software/', 'https://cci.charlotte.edu/sis-certificates-faq/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/sis-academics/graduate-certificates/fundamentals/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/degree-requirements/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/phd-courses/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/phd-admissions/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/phd-resources/', 'https://cci.charlotte.edu/cybersecurity/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/cybercorps-scholarship-service-sfs/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/graduate-assistant-support-plan-gasp/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/stars-computing-scholars/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/sis-news/', 'https://cci.charlotte.edu/research/sis-research/', 'https://cci.charlotte.edu/research/sis-research/centers-and-institutes/', 'https://cci.charlotte.edu/research/sis-research/complex-adaptive-systems/', 'https://cci.charlotte.edu/research/sis-research/cyber-defense-and-network-assurability-research-cente/']"
ul,"Administration
Directions
SIS Faculty
SIS Staff","['https://cci.charlotte.edu/departments/software-and-information-systems-sis/about-sis/administration/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/about-sis/directions/', 'https://cci.charlotte.edu/sis-faculty/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/about-software-information-systems/sis-staff/']"
ul,"Undergraduate Programs

Course Listings
Programs
Software and Information Systems: B.S./B.A.


SIS Master’s Programs

About SIS Master’s Degrees
Admissions
Degree Requirements
Early Entry (4+1) Program
Labs & Research
Frequently Asked Questions
SIS Contact


SIS Graduate Certificates

Software Development Certificate
Frequently Asked Questions – SIS Graduate Certificates


Fundamentals of Programming Courses
Ph.D. in Computing and Information Systems, SIS Track

Ph.D. Computing and Information Systems: Software and Information Systems Track
Ph.D. Courses
Ph.D. Admissions
Ph.D. Resources


Cybersecurity Program
Scholarships

CyberCorps: Scholarship for Service (SFS)
Graduate Assistant Support Plan (GASP)
The STARS Computing Scholars","['https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/', 'https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/course-listings/', 'https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/programs/', 'https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/software-and-information-systems/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/academics-3/sis-masters-programs/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/sis-academics/masters-programs/about-sis-masters/', 'https://cci.charlotte.edu/sis-grad-admissions/', 'https://cci.charlotte.edu/sis-grad-requirements/', 'https://cci.charlotte.edu/sis-early-entry/', 'https://cci.charlotte.edu/sis-labs-and-research/', 'https://cci.charlotte.edu/sis-grad-faq/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/academics-3/sis-masters-programs/sis-contact/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/academics-3/sis-graduate-certificates/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/sis-academics/graduate-certificates/software/', 'https://cci.charlotte.edu/sis-certificates-faq/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/sis-academics/graduate-certificates/fundamentals/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/degree-requirements/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/phd-courses/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/phd-admissions/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/phd-resources/', 'https://cci.charlotte.edu/cybersecurity/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/cybercorps-scholarship-service-sfs/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/graduate-assistant-support-plan-gasp/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/stars-computing-scholars/']"
ul,"Course Listings
Programs
Software and Information Systems: B.S./B.A.","['https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/course-listings/', 'https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/programs/', 'https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/software-and-information-systems/']"
ul,"About SIS Master’s Degrees
Admissions
Degree Requirements
Early Entry (4+1) Program
Labs & Research
Frequently Asked Questions
SIS Contact","['https://cci.charlotte.edu/departments/software-and-information-systems-sis/sis-academics/masters-programs/about-sis-masters/', 'https://cci.charlotte.edu/sis-grad-admissions/', 'https://cci.charlotte.edu/sis-grad-requirements/', 'https://cci.charlotte.edu/sis-early-entry/', 'https://cci.charlotte.edu/sis-labs-and-research/', 'https://cci.charlotte.edu/sis-grad-faq/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/academics-3/sis-masters-programs/sis-contact/']"
ul,"Software Development Certificate
Frequently Asked Questions – SIS Graduate Certificates","['https://cci.charlotte.edu/departments/software-and-information-systems-sis/sis-academics/graduate-certificates/software/', 'https://cci.charlotte.edu/sis-certificates-faq/']"
ul,"Ph.D. Computing and Information Systems: Software and Information Systems Track
Ph.D. Courses
Ph.D. Admissions
Ph.D. Resources","['https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/degree-requirements/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/phd-courses/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/phd-admissions/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/phd-resources/']"
ul,"CyberCorps: Scholarship for Service (SFS)
Graduate Assistant Support Plan (GASP)
The STARS Computing Scholars","['https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/cybercorps-scholarship-service-sfs/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/graduate-assistant-support-plan-gasp/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/stars-computing-scholars/']"
ul,"Centers and Institutes
Complex Adaptive Systems
Cyber Defense and Network Assurability Research Center","['https://cci.charlotte.edu/research/sis-research/centers-and-institutes/', 'https://cci.charlotte.edu/research/sis-research/complex-adaptive-systems/', 'https://cci.charlotte.edu/research/sis-research/cyber-defense-and-network-assurability-research-cente/']"
ul,NCRC Directory,['https://cci.charlotte.edu/nc-research-campus-ncrc/ncrc-directory/']
h2,Alumni Scholarship Fund,[]
p,The Alumni Gives Scholarship allows students to pursue their dreams and contribute to the technology community.  This needs-based scholarship empowers students to overcome financial hurdles while pursuing their education goals and gives preference to underrepresented populations within the CCI student body.,[]
p,"To make a gift, click the link below and search for CCI Alumni Gives Back Scholarship in the Designations menu.",[]
p,,[]
h1,Degree Requirements,[]
h2,Requirements for MS Cybersecurity and MS Information Technology,"['#MS%20Cybersecurity', '#MS%20Information%20Technology']"
h3,MS Cybersecurity,[]
p,MS Cybersecurity requires the successful completion of 30 credit hours of graduate course work (see the MS Cybersecurity Catalog for courses and course descriptions).,['https://catalog.charlotte.edu/preview_program.php?catoid=37&poid=10522&returnto=4458']
ul,"Core (12 credit hours)
Cybersecurity Electives (15 credit hours)
Free Elective (3 credit hours)
Culminating Experience (0-6 credit hours)",[]
h4,Core Component,[]
p,Students are required to complete the following core courses:,[]
ol,"ITIS 5250 Computer Forensics
ITS 6167 Network Security
ITIS 6200 Information Security and Privacy
ITIS 6240 Applied Cryptography",[]
p,,[]
h4,Cybersecurity Culminating Experience,[]
p,All students will complete a culminating experience as a capstone demonstrating mastery in Cybersecurity. This requirement is satisfied by completing one of the following capstones:,[]
ul,"Cybersecurity Project Report: written report on knowledge relating one or more courses to a IT project (0 credit hours)
Cybersecurity Internship Project (3 credits) Students who choose to complete the Internship Project for their culminating experience will use ITIS 6198 Internship Project course (3 credit hours) to help fulfill the cybersecurity elective requirements
Cybersecurity Master’s Thesis (total 6 credit hours: 3 credits each semester across 2 semesters)",[]
h4,Free Elective Component,[]
p,"Students may complete any additional course offered by the College of Computing and Informatics (BINF, HCIP, ITCS, ITIS) for their remaining elective requirement.",[]
h3,MS Information Technology,[]
p,MS Information Technology requires successful completion of 30 credit hours of graduate course work (see the MSIT Catalog for courses and course descriptions).,['https://catalog.charlotte.edu/preview_program.php?catoid=30&poid=8031']
ul,"Core (15 credit hours)
Concentration (9 credit hours)
Electives (6 credit hours)
IT Culminating Experience",[]
h4,Core Component,[]
p,Students are required to complete the following core requirements: 1. Advanced Programming: Select 1 from the following 2 courses,[]
ul,"ITIS 5166 Network-Based Application Development
ITIS 5180 Mobile Application Development",[]
p,2. Databases: Select 1 from the following 2 courses,[]
ul,"ITIS 6120 Applied Databases
IT IS 6162 Knowledge Discovery from Databases",[]
p,3. Software Systems Design: Select 1 from the following 3 courses:,[]
ul,"ITIS 6112 Software System Design and Implementation
ITIS 6342 Information Technology Project Management
ITIS 6177 System Integration",[]
p,4. ITIS 6200 Principles of Information Security and Privacy 5. ITIS 6300 Principles of Human Computer Interaction,[]
h4,Concentration Component,[]
p,"MSIT students are required to select and complete one of the following concentration options. Students pursuing a MS thesis for their culminating experience will use 6 credit hours towards their concentration in place of coursework. Subject to the approval of the Graduate Program Director, a course from outside of the approved list may be taken as a substitute course for the concentration. MSIT program offers the following concentrations: 1. Advanced Data and Knowledge Discovery 2. Emerging Technologies 3. Human-Computer Interaction 4. Information Security and Privacy 5. Information Technology Management 6. Software Systems Design and Engineering 7. Web Development",[]
h4,Elective Component,[]
p,Students fulfill the remaining requirements for a MSIT degree by completing two approved elective courses in the area of information technology. Students who chose to complete the IT Internship Project for their culminating experience will enroll in ITIS 6198 Internship Project course (3 credit hours) to help fulfill the elective requirements.,[]
h4,MSIT Culminating Experience,[]
p,All students will complete a culminating experience as a capstone demonstrating mastery in IT. This requirement is satisfied by completing one of the following capstones:,[]
ul,"IT Project Report: written report on knowledge relating one or more courses to a IT project (0 credit hours)
IT Internship Project (3 credits)
IT Master’s Thesis (total 6 credit hours: 3 credits each semester across 2 semesters)",[]
ul,"© 2024 UNC Charlotte. All rights reserved.
Contact Us
Terms of Use
University Policies","['https://www.charlotte.edu', 'https://www.charlotte.edu/contact', 'https://legal.charlotte.edu/termsofuse', 'https://legal.charlotte.edu/policies']"
h2,Campus Links,[]
ul,"Alerts


Jobs


Make a Gift


Maps / Directions





Accessibility","['https://emergency.charlotte.edu/', 'https://jobs.charlotte.edu/', 'https://giving.charlotte.edu/', 'https://maps.charlotte.edu/', 'https://accessibility.charlotte.edu/']"
h2,Resources,[]
ul,"Alumni & Friends


Faculty & Staff


Prospective Students


Community


Current Students


Parents and Family","['https://www.charlotte.edu/gateway/alumni-friends', 'https://www.charlotte.edu/gateway/faculty-staff', 'https://www.charlotte.edu/gateway/prospective-students', 'https://www.charlotte.edu/gateway/community', 'https://www.charlotte.edu/gateway/current-students', 'https://www.charlotte.edu/gateway/parents-family']"
h2,Stay In Touch,[]
ul,"Facebook





Instagram





Flickr





LinkedIn





X (Twitter)





YouTube","['https://www.facebook.com/UNCCharlotte', 'https://www.instagram.com/unccharlotte/', 'https://www.flickr.com/photos/stakeyourclaim/sets/', 'https://www.linkedin.com/school/166586/', 'https://twitter.com/UNCCharlotte', 'https://www.youtube.com/user/unccharlottevideo']"
h2,The University of North Carolina at Charlotte,[]
ul,"© 2024 UNC Charlotte. All rights reserved.
Contact Us
Terms of Use
University Policies","['https://www.charlotte.edu', 'https://www.charlotte.edu/contact', 'https://legal.charlotte.edu/termsofuse', 'https://legal.charlotte.edu/policies']"
